0.000000,-1.494923,-1.494266,-1.668439,-1.828153,3.542974E+9
0.005000,-1.485064,-1.432812,-1.889935,-1.811721,3.542974E+9
0.010000,-1.488022,-1.429197,-1.657266,-1.787403,3.542974E+9
0.015000,-1.559663,-1.435441,-1.646092,-1.750925,3.542974E+9
0.020000,-1.431826,-1.483749,-1.661538,-1.736465,3.542974E+9
0.025000,-1.462389,-1.418681,-1.616516,-1.772943,3.542974E+9
0.030000,-1.453516,-1.409479,-1.618816,-1.764399,3.542974E+9
0.035000,-1.489008,-1.456473,-1.640177,-1.736137,3.542974E+9
0.040000,-1.476191,-1.420981,-1.686185,-1.726606,3.542974E+9
0.045000,-1.446943,-1.416381,-1.654637,-1.862987,3.542974E+9
0.050000,-1.478820,-1.426897,-1.645106,-1.816651,3.542974E+9
0.055000,-1.514641,-1.516941,-1.687828,-1.810735,3.542974E+9
0.060000,-1.516941,-1.568864,-1.767028,-1.885006,3.542974E+9
0.065000,-1.628675,-1.656280,-1.812707,-2.222179,3.542974E+9
0.070000,-1.786417,-1.792989,-1.822237,-2.135421,3.542974E+9
0.075000,-1.863645,-2.000354,-1.869560,-2.272131,3.542974E+9
0.080000,-1.965191,-2.165326,-2.036832,-2.455506,3.542974E+9
0.085000,-2.153167,-2.267859,-2.207391,-2.563625,3.542974E+9
0.090000,-2.277389,-2.309266,-2.317153,-2.685546,3.542974E+9
0.095000,-2.201147,-2.346401,-2.388137,-2.840660,3.542974E+9
0.100000,-2.160068,-2.351002,-2.357574,-2.977041,3.542974E+9
0.105000,-2.201804,-2.345415,-2.287905,-2.942206,3.542974E+9
0.110000,-2.204433,-2.375978,-2.251756,-2.798595,3.542974E+9
0.115000,-2.209363,-2.378278,-2.225465,-2.660571,3.542974E+9
0.120000,-2.192274,-2.378935,-2.139365,-2.655313,3.542974E+9
0.125000,-2.194903,-2.377949,-2.067066,-2.551137,3.542974E+9
0.130000,-2.182086,-2.428558,-2.021058,-2.423300,3.542974E+9
0.135000,-2.143965,-2.402268,-2.053592,-2.430530,3.542974E+9
0.140000,-2.141665,-2.388465,-2.075939,-2.673059,3.542974E+9
0.145000,-2.180115,-2.360861,-2.096643,-2.542264,3.542974E+9
0.150000,-2.159082,-2.452877,-2.123590,-2.651698,3.542974E+9
0.155000,-2.158096,-2.431516,-2.765403,-2.689819,3.542974E+9
0.160000,-2.209691,-2.446961,-2.172885,-2.741085,3.542974E+9
0.165000,-2.327340,-2.475224,-2.208377,-2.715123,3.542974E+9
0.170000,-2.269830,-2.719067,-2.186687,-2.676016,3.542974E+9
0.175000,-2.230066,-2.491984,-2.140022,-2.712494,3.542974E+9
0.180000,-2.212977,-2.477524,-2.087441,-2.575127,3.542974E+9
0.185000,-2.339171,-2.445976,-2.032560,-2.501514,3.542974E+9
0.190000,-2.130163,-2.452548,-2.027631,-2.441375,3.542974E+9
0.195000,-2.155139,-2.415413,-2.037818,-2.507101,3.542974E+9
0.200000,-2.175185,-2.378935,-2.028616,-2.478510,3.542974E+9
0.205000,-2.141665,-2.370391,-1.989838,-2.446304,3.542974E+9
0.210000,-2.078897,-2.319125,-2.001340,-2.419028,3.542974E+9
0.215000,-2.052606,-2.287576,-1.989510,-2.502828,3.542974E+9
0.220000,-2.094342,-2.265887,-2.008899,-2.419357,3.542974E+9
0.225000,-2.105844,-2.320768,-1.968806,-2.350016,3.542974E+9
0.230000,-2.082512,-2.258000,-1.972092,-2.263586,3.542974E+9
0.235000,-2.034203,-2.213963,-1.955661,-2.323068,3.542974E+9
0.240000,-2.109131,-2.178471,-1.963219,-2.257014,3.542974E+9
0.245000,-2.060493,-2.211006,-1.898151,-2.224808,3.542974E+9
0.250000,-1.995096,-2.149881,-1.919840,-2.202790,3.542974E+9
0.255000,-1.971435,-2.092042,-1.883034,-2.298092,3.542974E+9
0.260000,-1.992796,-2.066409,-1.889278,-2.190631,3.542974E+9
0.265000,-1.957961,-2.092699,-1.868245,-2.164012,3.542974E+9
0.270000,-1.922141,-2.010213,-1.891249,-2.066080,3.542974E+9
0.275000,-1.855100,-1.958290,-1.829467,-2.203776,3.542974E+9
0.280000,-1.893879,-1.947445,-1.814022,-1.982608,3.542974E+9
0.285000,-1.852800,-1.985895,-1.770314,-1.985566,3.542974E+9
0.290000,-1.854114,-1.901766,-1.837683,-1.948760,3.542974E+9
0.295000,-1.823881,-1.871532,-1.830782,-1.984580,3.542974E+9
0.300000,-1.844913,-1.871532,-1.755197,-1.914582,3.542974E+9
0.305000,-1.788060,-1.909981,-1.737451,-1.957633,3.542974E+9
0.310000,-1.804491,-1.806792,-1.857072,-1.908995,3.542974E+9
0.315000,-1.759798,-1.795618,-1.754540,-1.954675,3.542974E+9
0.320000,-1.837026,-1.779516,-1.765713,-1.946788,3.542974E+9
0.325000,-1.711161,-1.596469,-1.700973,-1.965191,3.542974E+9
0.330000,-1.708203,-1.719048,-1.765713,-1.953689,3.542974E+9
0.335000,-1.719048,-1.702616,-1.754540,-1.946131,3.542974E+9
0.340000,-1.768999,-1.652665,-1.739423,-1.933971,3.542974E+9
0.345000,-1.663181,-1.668768,-1.729235,-1.901766,3.542974E+9
0.350000,-1.625060,-1.642806,-1.700973,-1.871203,3.542974E+9
0.355000,-1.631961,-1.630647,-1.650036,-1.881391,3.542974E+9
0.360000,-1.637876,-1.600741,-1.642477,-1.813693,3.542974E+9
0.365000,-1.608628,-1.610600,-1.674683,-1.791018,3.542974E+9
0.370000,-1.601070,-1.593840,-1.676983,-1.834725,3.542974E+9
