0.000000,-2.124905,-1.900122,-2.035846,-2.050963,3.542988E+9
0.005000,-2.144294,-1.899137,-2.068052,-2.060493,3.542988E+9
0.010000,-2.141665,-1.920826,-2.049320,-2.033546,3.542988E+9
0.015000,-2.273117,-1.959276,-2.104858,-2.060493,3.542988E+9
0.020000,-2.203776,-1.953032,-2.084812,-2.065094,3.542988E+9
0.025000,-2.314853,-2.011528,-2.120961,-2.037161,3.542988E+9
0.030000,-2.237953,-2.013500,-2.080211,-2.095328,3.542988E+9
0.035000,-2.264572,-2.048991,-2.175842,-2.059179,3.542988E+9
0.040000,-2.284290,-2.022044,-2.088427,-2.055235,3.542988E+9
0.045000,-2.327012,-2.053921,-2.143965,-2.076596,3.542988E+9
0.050000,-2.334899,-2.060493,-2.087112,-2.050306,3.542988E+9
0.055000,-2.383865,-2.093685,-2.120304,-2.062794,3.542988E+9
0.060000,-2.367105,-2.100258,-2.078568,-2.060493,3.542988E+9
0.065000,-2.490669,-2.136407,-2.121290,-2.064766,3.542988E+9
0.070000,-2.415084,-2.143308,-2.104201,-2.064437,3.542988E+9
0.075000,-2.538649,-2.195889,-2.132792,-2.069695,3.542988E+9
0.080000,-2.472595,-2.176171,-2.105187,-2.082183,3.542988E+9
0.085000,-2.512687,-2.210348,-2.135421,-2.061151,3.542988E+9
0.090000,-2.498228,-2.212320,-2.082183,-2.071996,3.542988E+9
0.095000,-2.544564,-2.240254,-2.139036,-2.076596,3.542988E+9
0.100000,-2.534048,-2.244854,-2.103544,-2.050306,3.542988E+9
0.105000,-2.576441,-2.267859,-2.114060,-2.233024,3.542988E+9
0.110000,-2.553437,-2.282318,-2.094342,-2.039461,3.542988E+9
0.115000,-2.627050,-2.278375,-2.102887,-2.037818,3.542988E+9
0.120000,-2.552123,-2.287248,-2.075282,-2.036175,3.542988E+9
0.125000,-2.605361,-2.311238,-2.090070,-2.014814,3.542988E+9
0.130000,-2.572498,-2.290534,-2.102558,-2.029274,3.542988E+9
0.135000,-2.602732,-2.319125,-2.064108,-2.011528,3.542988E+9
0.140000,-2.557381,-2.305980,-2.044391,-2.036832,3.542988E+9
0.145000,-2.561325,-2.306965,-2.234338,-2.026973,3.542988E+9
0.150000,-2.553109,-2.301707,-2.038804,-2.005284,3.542988E+9
0.155000,-2.567568,-2.316824,-2.049649,-2.110445,3.542988E+9
0.160000,-2.585972,-2.341471,-2.048334,-2.024016,3.542988E+9
